Line no. 	 Token no. 		 Token 		 Lexeme
   1136		    9488		 Special symbol	       (
   1136		    9489		 Special symbol	       (
   1136		    9490		 Identifier	      yy
   1136		    9491		 Identifier	       c
   1136		    9492		 Identifier	     buf
   1136		    9493		 Identifier	       p
   1136		    9494		 Identifier	      YY
   1136		    9495		 Identifier	 CURRENT
   1136		    9496		 Identifier	  BUFFER
   1136		    9497		 Identifier	  LVALUE
   1136		    9498		 Identifier	      yy
   1136		    9499		 Identifier	      ch
   1136		    9500		 Identifier	     buf
   1136		    9501		 Special symbol	       (
   1136		    9502		 Identifier	      yy
   1136		    9503		 Identifier	       n
   1136		    9504		 Identifier	   chars
   1136		    9505		 Special symbol	       )
   1137		    9506		 Operator	       /
   1137		    9507		 Operator	       *
   1137		    9508		 Identifier	    This
   1137		    9509		 Identifier	     was
   1137		    9510		 Identifier	  really
   1137		    9511		 Identifier	       a
   1137		    9512		 Identifier	     NUL
   1137		    9513		 Operator	       *
   1137		    9514		 Operator	       /
   1138		    9515		 Operator	       *
   1138		    9516		 Special symbol	       (
   1138		    9517		 Identifier	      yy
   1138		    9518		 Identifier	       c
   1138		    9519		 Identifier	     buf
   1138		    9520		 Identifier	       p
   1138		    9521		 Digit		       0
   1138		    9522		 Special symbol	       ;
   1140		    9523		 Keyword	    else
   1140		    9524		 Special symbol	       {
   1140		    9525		 Operator	       /
   1140		    9526		 Operator	       *
   1140		    9527		 Identifier	    need
   1140		    9528		 Identifier	    more
   1140		    9529		 Identifier	   input
   1140		    9530		 Operator	       *
   1140		    9531		 Operator	       /
   1141		    9532		 Keyword	     int
   1141		    9533		 Identifier	  offset
   1141		    9534		 Special symbol	       (
   1141		    9535		 Keyword	     int
   1141		    9536		 Special symbol	       (
   1141		    9537		 Special symbol	       (
   1141		    9538		 Identifier	      yy
   1141		    9539		 Identifier	       c
   1141		    9540		 Identifier	     buf
   1141		    9541		 Identifier	       p
   1141		    9542		 Operator	       -
   1141		    9543		 Special symbol	       (
   1141		    9544		 Identifier	  yytext
   1141		    9545		 Identifier	     ptr
   1141		    9546		 Special symbol	       )
   1141		    9547		 Special symbol	       ;
   1142		    9548		 Operator	       +
   1142		    9549		 Operator	       +
   1142		    9550		 Special symbol	       (
   1142		    9551		 Identifier	      yy
   1142		    9552		 Identifier	       c
   1142		    9553		 Identifier	     buf
   1142		    9554		 Identifier	       p
   1142		    9555		 Special symbol	       ;
   1144		    9556		 Keyword	  switch
   1144		    9557		 Special symbol	       (
   1144		    9558		 Identifier	      yy
   1144		    9559		 Identifier	     get
   1144		    9560		 Identifier	    next
   1144		    9561		 Identifier	  buffer
   1144		    9562		 Special symbol	       )
   1144		    9563		 Special symbol	       )
   1145		    9564		 Special symbol	       {
   1146		    9565		 Keyword	    case
   1146		    9566		 Identifier	     EOB
   1146		    9567		 Identifier	     ACT
   1146		    9568		 Identifier	    LAST
   1146		    9569		 Identifier	   MATCH
   1147		    9570		 Operator	       /
   1147		    9571		 Operator	       *
   1147		    9572		 Identifier	    This
   1147		    9573		 Identifier	 happens
   1147		    9574		 Identifier	 because
   1147		    9575		 Identifier	      yy
   1147		    9576		 Identifier	       g
   1147		    9577		 Identifier	       n
   1147		    9578		 Identifier	       b
   1147		    9579		 Special symbol	       )
   1148		    9580		 Operator	       *
   1148		    9581		 Identifier	    sees
   1148		    9582		 Identifier	    that
   1148		    9583		 Identifier	      we
   1148		    9584		 Identifier	      ve
   1148		    9585		 Identifier	 accumulated
   1148		    9586		 Identifier	       a
   1148		    9587		 Operator	       *
   1148		    9588		 Identifier	   token
   1148		    9589		 Identifier	     and
   1148		    9590		 Identifier	   flags
   1148		    9591		 Identifier	    that
   1148		    9592		 Identifier	      we
   1148		    9593		 Identifier	    need
   1148		    9594		 Identifier	      to
   1148		    9595		 Operator	       *
   1148		    9596		 Identifier	     try
   1148		    9597		 Identifier	 matching
   1148		    9598		 Identifier	     the
   1148		    9599		 Identifier	   token
   1148		    9600		 Identifier	  before
   1148		    9601		 Operator	       *
   1148		    9602		 Identifier	 proceeding
   1148		    9603		 Identifier	     But
   1148		    9604		 Keyword	     for
   1148		    9605		 Identifier	   input
   1148		    9606		 Special symbol	       )
   1149		    9607		 Operator	       *
   1149		    9608		 Identifier	   there
   1149		    9609		 Identifier	       s
   1149		    9610		 Identifier	      no
   1149		    9611		 Identifier	 matching
   1149		    9612		 Identifier	      to
   1149		    9613		 Identifier	 consider
   1150		    9614		 Operator	       *
   1150		    9615		 Identifier	      So
   1150		    9616		 Identifier	 convert
   1150		    9617		 Identifier	     the
   1150		    9618		 Identifier	     EOB
   1150		    9619		 Identifier	     ACT
   1150		    9620		 Identifier	    LAST
   1150		    9621		 Identifier	   MATCH
   1150		    9622		 Operator	       *
   1150		    9623		 Identifier	      to
   1150		    9624		 Identifier	     EOB
   1150		    9625		 Identifier	     ACT
   1150		    9626		 Identifier	     END
   1150		    9627		 Identifier	      OF
   1150		    9628		 Identifier	    FILE
   1151		    9629		 Operator	       *
   1151		    9630		 Operator	       /
   1153		    9631		 Operator	       /
   1153		    9632		 Operator	       *
   1153		    9633		 Identifier	   Reset
   1153		    9634		 Identifier	  buffer
   1153		    9635		 Identifier	  status
   1153		    9636		 Operator	       *
   1153		    9637		 Operator	       /
   1154		    9638		 Identifier	 yyrestart
   1154		    9639		 Identifier	    yyin
   1154		    9640		 Special symbol	       )
   1154		    9641		 Special symbol	       ;
   1156		    9642		 Operator	       /
   1156		    9643		 Operator	       *
   1156		    9644		 Identifier	 FALLTHROUGH
   1156		    9645		 Operator	       /
   1158		    9646		 Keyword	    case
   1158		    9647		 Identifier	     EOB
   1158		    9648		 Identifier	     ACT
   1158		    9649		 Identifier	     END
   1158		    9650		 Identifier	      OF
   1158		    9651		 Identifier	    FILE
   1159		    9652		 Special symbol	       {
   1160		    9653		 Keyword	      if
   1160		    9654		 Special symbol	       (
   1160		    9655		 Identifier	  yywrap
   1160		    9656		 Special symbol	       )
   1160		    9657		 Special symbol	       )
   1161		    9658		 Keyword	  return
   1161		    9659		 Digit		       0
   1161		    9660		 Special symbol	       ;
   1163		    9661		 Keyword	      if
   1163		    9662		 Special symbol	       (
   1163		    9663		 Special symbol	       !
   1163		    9664		 Special symbol	       (
   1163		    9665		 Identifier	      yy
   1163		    9666		 Identifier	     did
   1163		    9667		 Identifier	  buffer
   1163		    9668		 Keyword	  switch
   1163		    9669		 Identifier	      on
   1163		    9670		 Identifier	     eof
   1163		    9671		 Special symbol	       )
   1164		    9672		 Identifier	      YY
   1164		    9673		 Identifier	     NEW
   1164		    9674		 Identifier	    FILE
   1165		    9675		 Special symbol	       #
   1165		    9676		 Identifier	   ifdef
   1165		    9677		 Identifier	 cplusplus
   1165		    9678		 Keyword	  return
   1165		    9679		 Identifier	 yyinput
   1165		    9680		 Special symbol	       )
   1165		    9681		 Special symbol	       ;
   1166		    9682		 Special symbol	       #
   1166		    9683		 Keyword	    else
   1166		    9684		 Keyword	  return
   1166		    9685		 Identifier	   input
   1166		    9686		 Special symbol	       )
   1166		    9687		 Special symbol	       ;
   1167		    9688		 Special symbol	       #
   1167		    9689		 Identifier	   endif
   1167		    9690		 Special symbol	       }
   1169		    9691		 Keyword	    case
   1169		    9692		 Identifier	     EOB
   1169		    9693		 Identifier	     ACT
   1169		    9694		 Identifier	 CONTINUE
   1169		    9695		 Identifier	    SCAN
   1170		    9696		 Special symbol	       (
   1170		    9697		 Identifier	      yy
   1170		    9698		 Identifier	       c
   1170		    9699		 Identifier	     buf
   1170		    9700		 Identifier	       p
   1170		    9701		 Special symbol	       (
   1170		    9702		 Identifier	  yytext
   1170		    9703		 Identifier	     ptr
   1170		    9704		 Operator	       +
   1170		    9705		 Identifier	  offset
   1171		    9706		 Keyword	   break
   1172		    9707		 Special symbol	       }
   1173		    9708		 Special symbol	       }
   1174		    9709		 Special symbol	       }
   1176		    9710		 Identifier	       c
   1176		    9711		 Operator	       *
   1176		    9712		 Special symbol	       (
   1176		    9713		 Keyword	 unsigned
   1176		    9714		 Keyword	    char
   1176		    9715		 Operator	       *
   1176		    9716		 Special symbol	       )
   1176		    9717		 Special symbol	       (
   1176		    9718		 Identifier	      yy
   1176		    9719		 Identifier	       c
   1176		    9720		 Identifier	     buf
   1176		    9721		 Identifier	       p
   1176		    9722		 Special symbol	       ;
   1176		    9723		 Operator	       /
   1176		    9724		 Operator	       *
   1176		    9725		 Identifier	    cast
   1176		    9726		 Keyword	     for
   1176		    9727		 Digit		       8
   1176		    9728		 Operator	       -
   1176		    9729		 Identifier	     bit
   1176		    9730		 Keyword	    char
   1176		    9731		 Identifier	       s
   1176		    9732		 Operator	       *
   1176		    9733		 Operator	       /
   1177		    9734		 Operator	       *
   1177		    9735		 Special symbol	       (
   1177		    9736		 Identifier	      yy
   1177		    9737		 Identifier	       c
   1177		    9738		 Identifier	     buf
   1177		    9739		 Identifier	       p
   1177		    9740		 Digit		       0
   1177		    9741		 Special symbol	       ;
   1177		    9742		 Operator	       /
   1177		    9743		 Operator	       *
   1177		    9744		 Identifier	 preserve
   1177		    9745		 Identifier	  yytext
   1177		    9746		 Operator	       *
   1177		    9747		 Operator	       /
   1178		    9748		 Special symbol	       (
   1178		    9749		 Identifier	      yy
   1178		    9750		 Identifier	    hold
   1178		    9751		 Keyword	    char
   1178		    9752		 Operator	       *
   1178		    9753		 Operator	       +
   1178		    9754		 Operator	       +
   1178		    9755		 Special symbol	       (
   1178		    9756		 Identifier	      yy
   1178		    9757		 Identifier	       c
   1178		    9758		 Identifier	     buf
   1178		    9759		 Identifier	       p
   1178		    9760		 Special symbol	       ;
   1180		    9761		 Keyword	  return
   1180		    9762		 Identifier	       c
   1181		    9763		 Special symbol	       }
   1182		    9764		 Special symbol	       #
   1182		    9765		 Identifier	   endif
   1182		    9766		 Operator	       /
   1182		    9767		 Operator	       *
   1182		    9768		 Identifier	  ifndef
   1182		    9769		 Identifier	      YY
   1182		    9770		 Identifier	      NO
   1182		    9771		 Identifier	   INPUT
   1182		    9772		 Operator	       *
   1182		    9773		 Operator	       /
   1184		    9774		 Operator	       /
   1184		    9775		 Operator	       *
   1184		    9776		 Operator	       *
   1184		    9777		 Identifier	 Immediately
   1184		    9778		 Keyword	  switch
   1184		    9779		 Identifier	      to
   1184		    9780		 Identifier	       a
   1184		    9781		 Identifier	 different
   1184		    9782		 Identifier	   input
   1184		    9783		 Identifier	  stream
   1185		    9784		 Operator	       *
   1185		    9785		 Special symbol	       @
   1185		    9786		 Identifier	   param
   1185		    9787		 Identifier	   input
   1185		    9788		 Identifier	    file
   1185		    9789		 Identifier	       A
   1185		    9790		 Identifier	 readable
   1185		    9791		 Identifier	  stream
   1186		    9792		 Operator	       *
   1187		    9793		 Operator	       *
   1187		    9794		 Special symbol	       @
   1187		    9795		 Identifier	    note
   1187		    9796		 Identifier	    This
   1187		    9797		 Identifier	 function
   1187		    9798		 Identifier	    does
   1187		    9799		 Identifier	     not
   1187		    9800		 Identifier	   reset
   1187		    9801		 Identifier	     the
   1187		    9802		 Identifier	   start
   1187		    9803		 Identifier	 condition
   1187		    9804		 Identifier	      to
   1187		    9805		 Special symbol	       @
   1187		    9806		 Identifier	       c
   1187		    9807		 Identifier	 INITIAL
   1188		    9808		 Operator	       *
   1188		    9809		 Operator	       /
   1189		    9810		 Identifier	    void
   1189		    9811		 Identifier	 yyrestart
   1189		    9812		 Special symbol	       (
   1189		    9813		 Identifier	    FILE
   1189		    9814		 Operator	       *
   1189		    9815		 Identifier	   input
   1189		    9816		 Identifier	    file
   1189		    9817		 Special symbol	       )
   1190		    9818		 Special symbol	       {
   1192		    9819		 Keyword	      if
   1192		    9820		 Special symbol	       (
   1192		    9821		 Special symbol	       !
   1192		    9822		 Identifier	      YY
   1192		    9823		 Identifier	 CURRENT
   1192		    9824		 Identifier	  BUFFER
   1192		    9825		 Special symbol	       )
   1192		    9826		 Special symbol	       {
   1193		    9827		 Identifier	 yyensure
   1193		    9828		 Identifier	  buffer
   1193		    9829		 Identifier	   stack
   1193		    9830		 Special symbol	       (
   1193		    9831		 Special symbol	       )
   1193		    9832		 Special symbol	       ;
   1194		    9833		 Identifier	      YY
   1194		    9834		 Identifier	 CURRENT
   1194		    9835		 Identifier	  BUFFER
   1194		    9836		 Identifier	  LVALUE
   1195		    9837		 Identifier	      yy
   1195		    9838		 Identifier	  create
   1195		    9839		 Identifier	  buffer
   1195		    9840		 Identifier	    yyin
   1195		    9841		 Identifier	      YY
   1195		    9842		 Identifier	     BUF
   1195		    9843		 Identifier	    SIZE
   1195		    9844		 Special symbol	       )
   1195		    9845		 Special symbol	       ;
   1196		    9846		 Special symbol	       }
   1198		    9847		 Identifier	      yy
   1198		    9848		 Identifier	    init
   1198		    9849		 Identifier	  buffer
   1198		    9850		 Identifier	      YY
   1198		    9851		 Identifier	 CURRENT
   1198		    9852		 Identifier	  BUFFER
   1198		    9853		 Identifier	   input
   1198		    9854		 Identifier	    file
   1198		    9855		 Special symbol	       )
   1198		    9856		 Special symbol	       ;
   1199		    9857		 Identifier	      yy
   1199		    9858		 Identifier	    load
   1199		    9859		 Identifier	  buffer
   1199		    9860		 Identifier	   state
   1199		    9861		 Special symbol	       )
   1199		    9862		 Special symbol	       ;
   1200		    9863		 Special symbol	       }
   1202		    9864		 Operator	       /
   1202		    9865		 Operator	       *
   1202		    9866		 Operator	       *
   1202		    9867		 Identifier	  Switch
   1202		    9868		 Identifier	      to
   1202		    9869		 Identifier	       a
   1202		    9870		 Identifier	 different
   1202		    9871		 Identifier	   input
   1202		    9872		 Identifier	  buffer
   1203		    9873		 Operator	       *
   1203		    9874		 Special symbol	       @
   1203		    9875		 Identifier	   param
   1203		    9876		 Identifier	     new
   1203		    9877		 Identifier	  buffer
   1203		    9878		 Identifier	     The
   1203		    9879		 Identifier	     new
   1203		    9880		 Identifier	   input
   1203		    9881		 Identifier	  buffer
   1204		    9882		 Operator	       *
   1205		    9883		 Operator	       *
   1205		    9884		 Operator	       /
   1206		    9885		 Identifier	    void
   1206		    9886		 Identifier	      yy
   1206		    9887		 Keyword	  switch
   1206		    9888		 Identifier	      to
   1206		    9889		 Identifier	  buffer
   1206		    9890		 Special symbol	       (
   1206		    9891		 Identifier	      YY
   1206		    9892		 Identifier	  BUFFER
   1206		    9893		 Identifier	   STATE
   1206		    9894		 Identifier	     new
   1206		    9895		 Identifier	  buffer
   1206		    9896		 Special symbol	       )
   1207		    9897		 Special symbol	       {
   1209		    9898		 Operator	       /
   1209		    9899		 Operator	       *
   1209		    9900		 Identifier	    TODO
   1209		    9901		 Identifier	      We
   1209		    9902		 Identifier	  should
   1209		    9903		 Identifier	      be
   1209		    9904		 Identifier	    able
   1209		    9905		 Identifier	      to
   1209		    9906		 Identifier	 replace
   1209		    9907		 Identifier	    this
   1209		    9908		 Identifier	  entire
   1209		    9909		 Identifier	 function
   1209		    9910		 Identifier	    body
   1209		    9911		 Operator	       *
   1209		    9912		 Identifier	    with
   1209		    9913		 Operator	       *
   1209		    9914		 Identifier	   yypop
   1209		    9915		 Identifier	  buffer
   1209		    9916		 Identifier	   state
   1209		    9917		 Special symbol	       )
   1209		    9918		 Special symbol	       ;
   1210		    9919		 Operator	       *
   1210		    9920		 Identifier	  yypush
   1210		    9921		 Identifier	  buffer
   1210		    9922		 Identifier	   state
   1210		    9923		 Identifier	     new
   1210		    9924		 Identifier	  buffer
   1210		    9925		 Special symbol	       ;
   1211		    9926		 Operator	       *
   1211		    9927		 Operator	       /
   1212		    9928		 Identifier	 yyensure
   1212		    9929		 Identifier	  buffer
   1212		    9930		 Identifier	   stack
   1212		    9931		 Special symbol	       (
   1212		    9932		 Special symbol	       )
   1212		    9933		 Special symbol	       ;
   1213		    9934		 Keyword	      if
   1213		    9935		 Special symbol	       (
   1213		    9936		 Identifier	      YY
   1213		    9937		 Identifier	 CURRENT
   1213		    9938		 Identifier	  BUFFER
   1213		    9939		 Identifier	     new
   1213		    9940		 Identifier	  buffer
   1213		    9941		 Special symbol	       )
   1214		    9942		 Keyword	  return
   1216		    9943		 Keyword	      if
   1216		    9944		 Special symbol	       (
   1216		    9945		 Identifier	      YY
   1216		    9946		 Identifier	 CURRENT
   1216		    9947		 Identifier	  BUFFER
   1216		    9948		 Special symbol	       )
   1217		    9949		 Special symbol	       {
   1218		    9950		 Operator	       /
   1218		    9951		 Operator	       *
   1218		    9952		 Identifier	   Flush
   1218		    9953		 Identifier	     out
   1218		    9954		 Identifier	 information
   1218		    9955		 Keyword	     for
   1218		    9956		 Identifier	     old
   1218		    9957		 Identifier	  buffer
   1218		    9958		 Operator	       *
   1218		    9959		 Operator	       /
   1219		    9960		 Operator	       *
   1219		    9961		 Special symbol	       (
   1219		    9962		 Identifier	      yy
   1219		    9963		 Identifier	       c
   1219		    9964		 Identifier	     buf
   1219		    9965		 Identifier	       p
   1219		    9966		 Special symbol	       (
   1219		    9967		 Identifier	      yy
   1219		    9968		 Identifier	    hold
   1219		    9969		 Keyword	    char
   1219		    9970		 Special symbol	       ;
   1220		    9971		 Identifier	      YY
   1220		    9972		 Identifier	 CURRENT
   1220		    9973		 Identifier	  BUFFER
   1220		    9974		 Identifier	  LVALUE
   1220		    9975		 Identifier	      yy
   1220		    9976		 Identifier	     buf
   1220		    9977		 Identifier	     pos
   1220		    9978		 Special symbol	       (
   1220		    9979		 Identifier	      yy
   1220		    9980		 Identifier	       c
   1220		    9981		 Identifier	     buf
   1220		    9982		 Identifier	       p
   1220		    9983		 Special symbol	       ;
   1221		    9984		 Identifier	      YY
   1221		    9985		 Identifier	 CURRENT
   1221		    9986		 Identifier	  BUFFER
   1221		    9987		 Identifier	  LVALUE
   1221		    9988		 Identifier	      yy
   1221		    9989		 Identifier	       n
   1221		    9990		 Identifier	   chars
   1221		    9991		 Special symbol	       (
   1221		    9992		 Identifier	      yy
   1221		    9993		 Identifier	       n
   1221		    9994		 Identifier	   chars
   1221		    9995		 Special symbol	       ;
   1222		    9996		 Special symbol	       }
   1224		    9997		 Identifier	      YY
   1224		    9998		 Identifier	 CURRENT
   1224		    9999		 Identifier	  BUFFER
   1224		   10000		 Identifier	  LVALUE
   1224		   10001		 Identifier	     new
   1224		   10002		 Identifier	  buffer
   1225		   10003		 Identifier	      yy
   1225		   10004		 Identifier	    load
   1225		   10005		 Identifier	  buffer
   1225		   10006		 Identifier	   state
   1225		   10007		 Special symbol	       )
   1225		   10008		 Special symbol	       ;
   1227		   10009		 Operator	       /
   1227		   10010		 Operator	       *
   1227		   10011		 Identifier	      We
   1227		   10012		 Identifier	     don
   1227		   10013		 Identifier	       t
   1227		   10014		 Identifier	 actually
   1227		   10015		 Identifier	    know
   1227		   10016		 Identifier	 whether
   1227		   10017		 Identifier	      we
   1227		   10018		 Identifier	     did
   1227		   10019		 Identifier	    this
   1227		   10020		 Keyword	  switch
   1227		   10021		 Identifier	  during
   1227		   10022		 Operator	       *
   1227		   10023		 Identifier	     EOF
   1227		   10024		 Special symbol	       (
   1227		   10025		 Identifier	  yywrap
   1227		   10026		 Special symbol	       )
   1227		   10027		 Special symbol	       )
   1227		   10028		 Identifier	 processing
   1227		   10029		 Identifier	     but
   1227		   10030		 Identifier	     the
   1227		   10031		 Identifier	    only
   1227		   10032		 Identifier	    time
   1227		   10033		 Identifier	    this
   1227		   10034		 Identifier	    flag
   1227		   10035		 Operator	       *
   1227		   10036		 Identifier	      is
   1227		   10037		 Identifier	  looked
   1227		   10038		 Identifier	      at
   1227		   10039		 Identifier	      is
   1227		   10040		 Identifier	   after
   1227		   10041		 Identifier	  yywrap
   1227		   10042		 Special symbol	       )
   1227		   10043		 Identifier	      is
   1227		   10044		 Identifier	  called
   1227		   10045		 Identifier	      so
   1227		   10046		 Identifier	      it
   1227		   10047		 Identifier	       s
   1227		   10048		 Identifier	    safe
   1227		   10049		 Operator	       *
   1227		   10050		 Identifier	      to
   1227		   10051		 Identifier	      go
   1227		   10052		 Identifier	   ahead
   1227		   10053		 Identifier	     and
   1227		   10054		 Identifier	  always
   1227		   10055		 Identifier	     set
   1227		   10056		 Identifier	      it
   1228		   10057		 Operator	       *
   1228		   10058		 Operator	       /
   1229		   10059		 Special symbol	       (
   1229		   10060		 Identifier	      yy
   1229		   10061		 Identifier	     did
   1229		   10062		 Identifier	  buffer
   1229		   10063		 Keyword	  switch
   1229		   10064		 Identifier	      on
   1229		   10065		 Identifier	     eof
   1229		   10066		 Digit		       1
   1229		   10067		 Special symbol	       ;
   1230		   10068		 Special symbol	       }
   1232		   10069		 Keyword	  static
   1232		   10070		 Identifier	    void
   1232		   10071		 Identifier	      yy
   1232		   10072		 Identifier	    load
   1232		   10073		 Identifier	  buffer
   1232		   10074		 Identifier	   state
   1232		   10075		 Special symbol	       (
   1232		   10076		 Identifier	    void
   1233		   10077		 Special symbol	       {
   1234		   10078		 Special symbol	       (
   1234		   10079		 Identifier	      yy
   1234		   10080		 Identifier	       n
   1234		   10081		 Identifier	   chars
   1234		   10082		 Identifier	      YY
   1234		   10083		 Identifier	 CURRENT
   1234		   10084		 Identifier	  BUFFER
   1234		   10085		 Identifier	  LVALUE
   1234		   10086		 Identifier	      yy
   1234		   10087		 Identifier	       n
   1234		   10088		 Identifier	   chars
   1235		   10089		 Special symbol	       (
   1235		   10090		 Identifier	  yytext
   1235		   10091		 Identifier	     ptr
   1235		   10092		 Special symbol	       (
   1235		   10093		 Identifier	      yy
   1235		   10094		 Identifier	       c
   1235		   10095		 Identifier	     buf
   1235		   10096		 Identifier	       p
   1235		   10097		 Identifier	      YY
   1235		   10098		 Identifier	 CURRENT
   1235		   10099		 Identifier	  BUFFER
   1235		   10100		 Identifier	  LVALUE
   1235		   10101		 Identifier	      yy
   1235		   10102		 Identifier	     buf
   1235		   10103		 Identifier	     pos
   1236		   10104		 Identifier	    yyin
   1236		   10105		 Identifier	      YY
   1236		   10106		 Identifier	 CURRENT
   1236		   10107		 Identifier	  BUFFER
   1236		   10108		 Identifier	  LVALUE
   1236		   10109		 Identifier	      yy
   1236		   10110		 Identifier	   input
   1236		   10111		 Identifier	    file
   1237		   10112		 Special symbol	       (
   1237		   10113		 Identifier	      yy
   1237		   10114		 Identifier	    hold
   1237		   10115		 Keyword	    char
   1237		   10116		 Operator	       *
   1237		   10117		 Special symbol	       (
   1237		   10118		 Identifier	      yy
   1237		   10119		 Identifier	       c
   1237		   10120		 Identifier	     buf
   1237		   10121		 Identifier	       p
   1237		   10122		 Special symbol	       ;
   1238		   10123		 Special symbol	       }
   1240		   10124		 Operator	       /
   1240		   10125		 Operator	       *
   1240		   10126		 Operator	       *
   1240		   10127		 Identifier	 Allocate
   1240		   10128		 Identifier	     and
   1240		   10129		 Identifier	 initialize
   1240		   10130		 Identifier	      an
   1240		   10131		 Identifier	   input
   1240		   10132		 Identifier	  buffer
   1240		   10133		 Identifier	   state
   1241		   10134		 Operator	       *
   1241		   10135		 Special symbol	       @
   1241		   10136		 Identifier	   param
   1241		   10137		 Identifier	    file
   1241		   10138		 Identifier	       A
   1241		   10139		 Identifier	 readable
   1241		   10140		 Identifier	  stream
   1242		   10141		 Operator	       *
   1242		   10142		 Special symbol	       @
   1242		   10143		 Identifier	   param
   1242		   10144		 Identifier	    size
   1242		   10145		 Identifier	     The
   1242		   10146		 Identifier	 character
   1242		   10147		 Identifier	  buffer
   1242		   10148		 Identifier	    size
   1242		   10149		 Identifier	      in
   1242		   10150		 Identifier	   bytes
   1242		   10151		 Identifier	    When
   1242		   10152		 Identifier	      in
   1242		   10153		 Identifier	   doubt
   1242		   10154		 Identifier	     use
   1242		   10155		 Special symbol	       @
   1242		   10156		 Identifier	       c
   1242		   10157		 Identifier	      YY
   1242		   10158		 Identifier	     BUF
   1242		   10159		 Identifier	    SIZE
   1243		   10160		 Operator	       *
   1244		   10161		 Operator	       *
   1244		   10162		 Special symbol	       @
   1244		   10163		 Keyword	  return
   1244		   10164		 Identifier	     the
   1244		   10165		 Identifier	 allocated
   1244		   10166		 Identifier	  buffer
   1244		   10167		 Identifier	   state
   1245		   10168		 Operator	       *
   1245		   10169		 Operator	       /
   1246		   10170		 Identifier	      YY
   1246		   10171		 Identifier	  BUFFER
   1246		   10172		 Identifier	   STATE
   1246		   10173		 Identifier	      yy
   1246		   10174		 Identifier	  create
   1246		   10175		 Identifier	  buffer
   1246		   10176		 Special symbol	       (
   1246		   10177		 Identifier	    FILE
   1246		   10178		 Operator	       *
   1246		   10179		 Identifier	    file
   1246		   10180		 Keyword	     int
   1246		   10181		 Identifier	    size
   1246		   10182		 Special symbol	       )
   1247		   10183		 Special symbol	       {
   1248		   10184		 Identifier	      YY
   1248		   10185		 Identifier	  BUFFER
   1248		   10186		 Identifier	   STATE
   1248		   10187		 Identifier	       b
   1250		   10188		 Identifier	       b
   1250		   10189		 Special symbol	       (
   1250		   10190		 Identifier	      YY
   1250		   10191		 Identifier	  BUFFER
   1250		   10192		 Identifier	   STATE
   1250		   10193		 Identifier	 yyalloc
   1250		   10194		 Keyword	  sizeof
   1250		   10195		 Keyword	  struct
   1250		   10196		 Identifier	      yy
   1250		   10197		 Identifier	  buffer
   1250		   10198		 Identifier	   state
   1250		   10199		 Special symbol	       )
   1250		   10200		 Special symbol	       )
   1250		   10201		 Special symbol	       ;
   1251		   10202		 Keyword	      if
   1251		   10203		 Special symbol	       (
   1251		   10204		 Special symbol	       !
   1251		   10205		 Identifier	       b
   1251		   10206		 Special symbol	       )
   1252		   10207		 Identifier	      YY
   1252		   10208		 Identifier	   FATAL
   1252		   10209		 Identifier	   ERROR
   1252		   10210		 Identifier	     out
   1252		   10211		 Identifier	      of
   1252		   10212		 Identifier	 dynamic
   1252		   10213		 Identifier	  memory
   1252		   10214		 Identifier	      in
   1252		   10215		 Identifier	      yy
   1252		   10216		 Identifier	  create
   1252		   10217		 Identifier	  buffer
   1252		   10218		 Special symbol	       )
   1252		   10219		 Special symbol	       )
   1252		   10220		 Special symbol	       ;
   1254		   10221		 Identifier	       b
   1254		   10222		 Identifier	      yy
   1254		   10223		 Identifier	     buf
   1254		   10224		 Identifier	    size
   1254		   10225		 Identifier	    size
   1256		   10226		 Operator	       /
   1256		   10227		 Operator	       *
   1256		   10228		 Identifier	      yy
   1256		   10229		 Identifier	      ch
   1256		   10230		 Identifier	     buf
   1256		   10231		 Identifier	     has
   1256		   10232		 Identifier	      to
   1256		   10233		 Identifier	      be
   1256		   10234		 Digit		       2
   1256		   10235		 Identifier	 characters
   1256		   10236		 Identifier	  longer
   1256		   10237		 Identifier	    than
   1256		   10238		 Identifier	     the
   1256		   10239		 Identifier	    size
   1256		   10240		 Identifier	   given
   1256		   10241		 Identifier	 because
   1256		   10242		 Operator	       *
   1256		   10243		 Identifier	      we
   1256		   10244		 Identifier	    need
   1256		   10245		 Identifier	      to
   1256		   10246		 Identifier	     put
   1256		   10247		 Identifier	      in
   1256		   10248		 Digit		       2
   1256		   10249		 Identifier	     end
   1256		   10250		 Identifier	      of
   1256		   10251		 Identifier	  buffer
   1256		   10252		 Identifier	 characters
   1257		   10253		 Operator	       *
   1257		   10254		 Operator	       /
   1258		   10255		 Identifier	       b
   1258		   10256		 Identifier	      yy
   1258		   10257		 Identifier	      ch
   1258		   10258		 Identifier	     buf
   1258		   10259		 Special symbol	       (
   1258		   10260		 Keyword	    char
   1258		   10261		 Operator	       *
   1258		   10262		 Special symbol	       )
   1258		   10263		 Identifier	 yyalloc
   1258		   10264		 Special symbol	       (
   1258		   10265		 Identifier	      yy
   1258		   10266		 Identifier	    size
   1258		   10267		 Identifier	       t
   1258		   10268		 Special symbol	       (
   1258		   10269		 Identifier	       b
   1258		   10270		 Identifier	      yy
   1258		   10271		 Identifier	     buf
   1258		   10272		 Identifier	    size
   1258		   10273		 Operator	       +
